run_index,parameter_combination,results,number_itterations,initial_otter,initial_empty,initial_kelp,initial_urchin,kelp_reprod_prob,kelp_reprod_age,kelp_death_age,urchin_reprod_prob,urchin_reprod_age,urchin_death_age,otter_reprod_prob,otter_reprod_age,otter_death_age,otter_carrying_capacity
1,a,kelp,100,10,30,45,15,100,1,3,12,2,19,10,4,20,120
2,a,kelp,100,10,30,45,15,100,1,3,12,2,19,10,4,20,120
3,a,kelp,100,10,30,45,15,100,1,3,12,2,19,10,4,20,120
4,b,kelp,100,5,30,45,20,100,1,3,12,2,19,10,4,20,120
5,b,kelp,100,5,30,45,20,100,1,3,12,2,19,10,4,20,120
6,b,kelp,100,5,30,45,20,100,1,3,12,2,19,10,4,20,120
7,c,kelp,100,5,40,35,20,100,1,3,12,2,19,10,4,20,120
8,c,kelp,100,5,40,35,20,100,1,3,12,2,19,10,4,20,120
9,c,kelp,100,5,40,35,20,100,1,3,12,2,19,10,4,20,120
10,d,urchin,100,3,45,32,20,100,1,3,12,2,19,10,4,20,120
11,d,kelp,100,3,45,32,20,100,1,3,12,2,19,10,4,20,120
12,d,kelp,100,3,45,32,20,100,1,3,12,2,19,10,4,20,120
13,e,kelp_otter,100,3,45,32,20,100,1,3,12,2,19,10,4,20,400
14,e,kelp_otter,100,3,45,32,20,100,1,3,12,2,19,10,4,20,400
15,e,kelp_otter,100,3,45,32,20,100,1,3,12,2,19,10,4,20,400
16,f,kelp_otter,100,3,45,32,20,100,1,3,12,2,19,3,4,20,400
17,f,kelp_otter,100,3,45,32,20,100,1,3,12,2,19,3,4,20,400
18,f,kelp_otter,100,3,45,32,20,100,1,3,12,2,19,3,4,20,400
19,g,kelp_otter,100,1,47,32,20,100,1,3,12,2,19,3,4,20,400
20,g,kelp_otter,100,1,47,32,20,100,1,3,12,2,19,3,4,20,400
21,g,kelp_otter,100,1,47,32,20,100,1,3,12,2,19,3,4,20,400
22,h,urchin_otter,100,1,47,32,20,100,1,3,20,2,19,3,4,20,400
